Property Number,Borough Code,Sign Name,,,,,,,,Category,Site Amenities,,,Sector Name,,Sector Desc.,,,Functional Acreage,Total Acreage,,"FY18 Q1
(Jul - Sep 2017)","FY18 Q2
(Oct - Dec 2017)",,"FY18 Q3
(Jan - Mar 2018)","FY18 Q4
(Apr - Jun 2018)","FY18 Q1
(Jul - Sep 2017)",,"FY18 Q2
(Oct - Dec 2017)",,,"FY18 Q3
(Jan - Mar 2018)",,"FY18 Q4
(Apr - Jun 2018)",,"FY18 Q1
(Jul - Sep 2017)","FY18 Q2
(Oct - Dec 2017)","FY18 Q3
(Jan - Mar 2018)","FY18 Q4
(Apr - Jun 2018)",,"FY18 Q1
(Jul - Sep 2017)","FY18 Q2
(Oct - Dec 2017)","FY18 Q3
(Jan - Mar 2018)","FY18 Q4
(Apr - Jun 2018)","FY18 Q1
(Jul - Sep 2017)","FY18 Q2
(Oct - Dec 2017)","FY18 Q3
(Jan - Mar 2018)","FY18 Q4
(Apr - Jun 2018)"
Q007 1,Q,Bayswater Park,,,,,,,,Large Park,"Athletic Facilities,Comfort Station,Playground,
Trails",,,Queens Sector 14,,District 14,,,40.07,40.07,,118,129,,129,141,1454.00,,1596.00,,,1587.00,,1756.00,,6.1,5.0,5.0,5.5,,Yes,Yes,Yes,Yes,3035.00,1774.00,814.00,2575.00
X008,X,Claremont Park,,,,,,,,Large Park,"Athletic Facilities,Comfort Stations,Playground",,,Bronx Sector 4.5,,"Districts 4, 5",,,39.12,38.54,,119,119,,103,151,1846.00,,1512.00,,,1218.00,,1663.00,,5.9,6.5,6.2,6.2,,Yes,Yes,Yes,Yes,10527.00,5830.00,9317.00,23999.00
"Q448 1, 26,
27",Q,Roy Wilkins Recreation Center,,,,,,,,Large Park,"Athletic Facilities,Comfort Stations,Playground
s",,,Queens Sector 10.12,,"Districts 10, 12",,,38.46,60.35,,20,41,,43,53,333.00,,712.00,,,641.00,,706.00,,3.5,5.1,6.2,5.9,,Yes,Yes,Yes,Yes,15091.00,16429.00,12495.00,12578.00
B068 1,B,Parade Ground,,,,,,,,Large Park,"Athletic Facilities,Comfort Stations,Playground",,,Brooklyn Sector 14.19,,"Districts 14, 19",,,38.05,39.50,,249,171,,156,117,2090.00,,1523.00,,,1367.00,,820.00,,6.6,6.8,6.7,6.9,,Yes,Yes,Yes,Yes,16507.00,6582.00,7429.00,3097.00
X045 1,X,St. Mary's Park,,,,,,,,Large Park,"Athletic Facilities,Comfort Stations,Playground
s",,,Bronx Sector 1.2,,"Districts 1, 2",,,37.38,35.31,,131,114,,95,149,1802.00,,1409.00,,,1202.00,,2096.00,,5.9,6.5,6.0,5.6,,Yes,Yes,Yes,Yes,6164.00,11499.00,2177.00,6392.00
X046,X,Seton Falls Park,,,,,,,,Large Park,"Natural Areas,Playground,T
rails",,,"Bronx Sector
11.12",,"Districts 11, 12",,,36.65,35.77,,28,26,,26,30,432.00,,387.00,,,402.00,,450.00,,5.9,5.5,6.2,5.7,,No,No,No,No,497.00,1874.00,334.00,551.00
"B058 1, 28",B,McCarren Park,,,,,,,,Large Park,"Athletic Facilities,Comfort Stations,Playground",,,Brooklyn Sector 1,,District 1,,,36.55,36.49,,379,150,,231,747,6207.00,,2277.00,,,4135.00,,12986.00,,6.5,6.6,6.4,6.8,,Yes,Yes,Yes,Yes,9777.00,15608.00,85911.00,48592.00
B529,B,Bushwick Inlet Park,,,,,,,,Small Park,"Athletic
Facilities,Comfort Station",,,Brooklyn Sector 1,,District 1,,,35.53,35.53,,88,82,,84,59,1241.00,,1116.00,,,1401.00,,934.00,,6.6,7.0,6.5,7.0,,Yes,Yes,Yes,Yes,2920.00,3717.00,5260.00,11650.00
Q010A 1,Q,Little Bay Park,,,,,,,,Large Park,Athletic Facilities,,,"Queens
Sector 11.13",,"Districts 11, 13",,,34.99,55.22,,102,61,,32,70,1387.00,,800.00,,,448.00,,1015.00,,6.5,6.5,5.2,6.7,,Yes,Yes,Yes,Yes,1053.00,3556.00,953.00,3491.00
B065,B,Ocean Parkway Malls,,,,,,,,Large Park,,,,"Brooklyn
Sector 10.12",,"Districts 10, 12",,,34.51,140.00,,110,98,,129,152,1502.00,,1391.00,,,1827.00,,2176.00,,6.1,6.4,6.2,6.8,,No,No,No,No,2781.00,2320.00,7718.00,1903.00
M056 1,M,Morningside Park,,,,,,,,Large Park,"Athletic Facilities,Comfort Stations,Playground
s",,,Manhattan Sector 7.9,,"Districts 7, 9",,,33.82,29.89,,138,139,,124,106,1943.00,,1795.00,,,1767.00,,1434.00,,6.3,6.7,6.8,6.8,,Yes,Yes,Yes,Yes,7049.00,12051.00,7023.00,5823.00
R016 1,R,Great Kills Park,,,,,,,,Large Park,"Beach,Natural
Areas,Playground,T rails",,,"Staten
Island Sector 3",,District 3,,,32.97,315.09,,180,30,,15,86,3468.00,,544.00,,,262.00,,1662.00,,6.6,6.4,5.9,6.7,,Yes,No,No,Yes,5178.00,9368.00,1611.00,20034.00
B251 1,B,Manhattan Beach Park,,,,,,,,Large Park,"Athletic Facilities,Beaches, Comfort Stations,Playground
s",,,Brooklyn Sector 11.15,,"Districts 11, 15",,,32.57,42.94,,142,43,,45,346,2230.00,,611.00,,,656.00,,5219.00,,6.4,6.2,6.8,6.8,,No,No,No,Yes,2587.00,4768.00,16688.00,9113.00
B032 28,B,Fort Greene Park,,,,,,,,Large Park,"Athletic Facilities,Comfort Stations,Playground
s",,,Brooklyn Sector 2,,District 2,,,32.00,30.17,,315,244,,308,615,4668.00,,3355.00,,,4759.00,,9779.00,,5.9,6.9,6.9,7.0,,Yes,Yes,Yes,Yes,3281.00,3743.00,11134.00,34652.00
