Property Number,Borough Code,Sign Name,,,,,,,,Category,Site Amenities,,,Sector Name,,Sector Desc.,,,Functional Acreage,Total Acreage,,"FY18 Q1
(Jul - Sep 2017)","FY18 Q2
(Oct - Dec 2017)",,"FY18 Q3
(Jan - Mar 2018)","FY18 Q4
(Apr - Jun 2018)","FY18 Q1
(Jul - Sep 2017)",,"FY18 Q2
(Oct - Dec 2017)",,,"FY18 Q3
(Jan - Mar 2018)",,"FY18 Q4
(Apr - Jun 2018)",,"FY18 Q1
(Jul - Sep 2017)","FY18 Q2
(Oct - Dec 2017)","FY18 Q3
(Jan - Mar 2018)","FY18 Q4
(Apr - Jun 2018)",,"FY18 Q1
(Jul - Sep 2017)","FY18 Q2
(Oct - Dec 2017)","FY18 Q3
(Jan - Mar 2018)","FY18 Q4
(Apr - Jun 2018)","FY18 Q1
(Jul - Sep 2017)","FY18 Q2
(Oct - Dec 2017)","FY18 Q3
(Jan - Mar 2018)","FY18 Q4
(Apr - Jun 2018)"
B062,B,Memorial Gore,,,,,,,,Small Park,,,,Brooklyn Sector 1,,District 1,,,0.07,0.07,,2,2,,3,3,24.00,,38.00,,,44.00,,47.00,,3.6,4.8,5.4,4.2,,No,No,No,No,4.00,4.00,0.00,44.00
Q360H,Q,Peter Chahales Park,,,,,,,,Small Park,,,,Queens Sector 5.6,,"Districts 5, 6",,,0.07,0.07,,17,16,,16,17,336.00,,307.00,,,267.00,,279.00,,4.5,3.8,4.5,5.0,,Yes,Yes,Yes,Yes,,,,
Q067,Q,Pigeon Paradise,,,,,,,,Small Park,,,,Queens Sector 1.2,,"Districts 1, 2",,,0.07,0.07,,26,32,,39,36,376.00,,385.00,,,472.00,,440.00,,5.3,6.2,6.6,6.2,,Yes,Yes,Yes,Yes,26.00,0.00,19.00,417.00
Q439,Q,Private William Gray Playground,,,,,,,,Small Park,Playground,,,Queens Sector 3.4,,"Districts 3, 4",,,0.07,0.07,,5,4,,2,3,70.00,,59.00,,,25.00,,40.00,,5.4,5.3,5.2,5.0,,No,No,No,No,56.00,0.00,0.00,0.00
Q360S,Q,Quick Brown Fox Triangle,,,,,,,,Small Park,,,,Queens Sector 5.6,,"Districts 5, 6",,,0.07,0.07,,1,,,,1,10.00,,7.00,,,5.00,,9.00,,2.1,1.2,1.2,1.0,,No,No,No,No,,,,
M189,M,Roosevelt Triangle,,,,,,,,Small Park,,,,Manhattan Sector 7.9,,"Districts 7, 9",,,0.07,0.07,,6,9,,10,9,80.00,,115.00,,,122.00,,105.00,,6.0,6.2,6.2,6.2,,No,No,No,No,0.00,50.00,0.00,0.00
M287,M,Sheridan Square Viewing Garden,,,,,,,,Small Park,,,,Manhattan Sector 1.2,,"Districts 1, 2",,,0.07,0.07,,5,4,,3,2,7.00,,9.00,,,4.00,,2.00,,1.3,1.5,1.5,1.0,,Yes,Yes,Yes,Yes,0.00,0.00,0.00,536.00
M083,M,Sherman Square,,,,,,,,Small Park,,,,Manhattan Sector 7.9,,"Districts 7, 9",,,0.07,0.07,,20,21,,18,21,243.00,,297.00,,,245.00,,293.00,,5.8,5.9,6.4,6.8,,Yes,Yes,Yes,Yes,0.00,10.00,0.00,0.00
M085,M,Straus Park,,,,,,,,Small Park,,,,Manhattan Sector 7.9,,"Districts 7, 9",,,0.07,0.07,,23,18,,14,14,276.00,,205.00,,,164.00,,176.00,,5.6,5.3,5.3,5.9,,No,No,No,No,147.00,371.00,39.00,88.00
X101 67,X,Hutchinson River Parkway,,,,,,,,Other,,,,"Bronx
Sector 9.10",,"Districts 9, 10",,,0.07,229.14,,2,1,,1,2,35.00,,18.00,,,16.00,,25.00,,4.6,3.8,2.8,3.8,,No,No,No,No,11.00,0.00,1186.00,0.00
Q341E,Q,Crosson Green,,,,,,,,Small Park,,,,Queens Sector 1.2,,"Districts 1, 2",,,0.06,0.06,,2,3,,2,3,38.00,,48.00,,,31.00,,52.00,,2.8,3.5,4.2,4.0,,No,No,No,No,0.00,888.00,0.00,52.00
Q203,Q,David J O'Connell Square,,,,,,,,Small Park,,,,"Queens
Sector 10.12",,"Districts 10, 12",,,0.06,0.06,,2,2,,3,4,26.00,,37.00,,,51.00,,61.00,,3.6,4.6,5.5,5.1,,No,No,No,No,0.00,0.00,436.00,0.00
Q090,Q,Federalist Triangle,,,,,,,,Small Park,,,,Queens Sector 5.6,,"Districts 5, 6",,,0.06,0.06,,1,1,,1,1,15.00,,10.00,,,9.00,,14.00,,2.4,2.3,2.1,2.6,,No,No,No,No,,,,
B213,B,Gravesend Triangle,,,,,,,,Small Park,,,,"Brooklyn Sector
11.15",,"Districts 11, 15",,,0.06,0.06,,,,,,1,4.00,,7.00,,,8.00,,18.00,,3.7,4.8,4.1,4.6,,No,No,No,No,,,,
B160,B,Ketchum Triangle,,,,,,,,Small Park,,,,"Brooklyn
Sector 11.15",,"Districts 11, 15",,,0.06,0.06,,1,1,,2,1,19.00,,23.00,,,25.00,,18.00,,1.6,2.0,2.5,2.9,,No,No,No,No,,,,
Q214,Q,Leonard Square,,,,,,,,Small Park,,,,Queens Sector 7,,District 7,,,0.06,0.06,,1,1,,1,,11.00,,10.00,,,11.00,,8.00,,1.0,1.5,1.7,1.5,,No,No,No,No,387.00,0.00,0.00,0.00
B392,B,Lott Park,,,,,,,,Small Park,,,,"Brooklyn
Sector 17.18",,"Districts 17, 18",,,0.06,0.06,,1,1,,1,1,14.00,,13.00,,,10.00,,17.00,,1.7,1.0,3.3,3.2,,No,No,No,No,79.00,0.00,0.00,46.00
Q135A,Q,McKee Triangle,,,,,,,,Small Park,,,,Queens Sector 7,,District 7,,,0.06,0.06,,,,,,,4.00,,4.00,,,4.00,,6.00,,1.3,1.5,1.1,1.3,,No,No,No,No,0.00,0.00,0.00,56.00
M125A,M,Minetta Green,,,,,,,,Small Park,,,,Manhattan Sector 1.2,,"Districts 1, 2",,,0.06,0.06,,5,3,,4,6,74.00,,45.00,,,65.00,,88.00,,6.3,4.6,5.1,6.5,,No,No,No,No,0.00,107.00,30.00,52.00
X056,X,Park,,,,,,,,Small Park,,,,Bronx Sector 3.6,,"Districts 3, 6",,,0.06,0.06,,1,1,,1,2,13.00,,14.00,,,16.00,,43.00,,1.9,2.2,2.4,4.2,,No,No,No,No,0.00,14.00,0.00,0.00
X148K1,X,Park,,,,,,,,Small Park,,,,"Bronx
Sector 9.10",,"Districts 9, 10",,,0.06,0.06,,5,2,,2,4,79.00,,46.00,,,39.00,,62.00,,5.6,3.9,3.5,4.1,,No,No,No,No,,,,
B255O,B,Park,,,,,,,,Small Park,,,,Brooklyn Sector 6.7,,"Districts 6, 7",,,0.06,0.06,,4,5,,3,5,75.00,,78.00,,,53.00,,81.00,,4.4,4.6,3.4,5.0,,No,No,No,No,,,,
B174,B,Park,,,,,,,,Small Park,,,,"Brooklyn
Sector 17.18",,"Districts 17, 18",,,0.06,0.06,,1,1,,2,2,16.00,,17.00,,,35.00,,28.00,,1.0,2.1,3.6,2.7,,No,No,No,No,,,,
X060,X,Sheridan Triangle,,,,,,,,Small Park,,,,Bronx Sector 7.8,,"Districts 7, 8",,,0.06,0.06,,1,3,,2,1,20.00,,39.00,,,35.00,,19.00,,2.5,2.0,2.1,1.5,,No,No,No,No,0.00,0.00,0.00,15.00
Q355,Q,Strippoli Square,,,,,,,,Small Park,,,,Queens Sector 1.2,,"Districts 1, 2",,,0.06,0.06,,1,1,,1,1,19.00,,14.00,,,15.00,,26.00,,2.2,2.0,2.2,3.8,,No,No,No,No,43.00,28.00,73.00,0.00
Q254,Q,Corporal Frank F. Fagan Sq.,,,,,,,,,,,,"Queens
Sector 1.2",,"Districts
1, 2",,,0.05,0.00,,,,,1,1,5.00,,5.00,,,9.00,,10.00,,1.0,2.0,1.5,2.3,,No,No,No,No,,,,
Q140,Q,Barclay Triangle,,,,,,,,Small Park,,,,Queens Sector 3.4,,"Districts 3, 4",,,0.05,0.05,,1,1,,1,1,19.00,,12.00,,,15.00,,14.00,,5.0,3.9,4.2,3.5,,No,No,No,No,20.00,0.00,0.00,216.00
Q224,Q,Calvary Monument,,,,,,,,Small Park,,,,Queens Sector 1.2,,"Districts 1, 2",,,0.05,0.05,,,1,,1,5,8.00,,10.00,,,10.00,,7.00,,1.0,1.0,1.3,2.5,,No,No,No,Yes,,,,
B205,B,Corporal Wiltshire Square,,,,,,,,Small Park,,,,"Brooklyn
Sector 11.15",,"Districts 11, 15",,,0.05,0.05,,1,1,,1,2,12.00,,18.00,,,23.00,,27.00,,4.0,5.6,6.0,5.2,,No,No,No,No,,,,
Q206,Q,Eight Oaks Triangle,,,,,,,,Small Park,,,,Queens Sector 8.9,,"Districts 8, 9",,,0.05,0.05,,2,3,,2,2,26.00,,45.00,,,36.00,,35.00,,5.9,5.8,6.2,5.1,,No,No,No,No,,,,
Q220D,Q,Foch Sitting Area,,,,,,,,Small Park,,,,"Queens
Sector 10.12",,"Districts 10, 12",,,0.05,0.05,,4,3,,1,2,56.00,,35.00,,,22.00,,27.00,,2.6,2.2,2.2,2.1,,No,No,No,No,0.00,0.00,85.00,130.00
B211,B,Lady Moody Triangle,,,,,,,,Small Park,,,,"Brooklyn Sector
11.15",,"Districts 11, 15",,,0.05,0.05,,1,2,,1,1,14.00,,42.00,,,28.00,,26.00,,4.0,5.7,5.9,5.2,,No,No,No,No,,,,
Q076,Q,Legion Triangle,,,,,,,,Small Park,,,,Queens Sector 8.9,,"Districts 8, 9",,,0.05,0.05,,1,2,,2,2,25.00,,35.00,,,26.00,,35.00,,5.0,5.6,5.5,4.8,,No,No,No,No,89.00,0.00,0.00,0.00
Q257,Q,Lt. Clinton L .Whiting Square,,,,,,,,Small Park,,,,Queens Sector 8.9,,"Districts 8, 9",,,0.05,0.05,,1,2,,1,2,13.00,,27.00,,,23.00,,25.00,,3.9,5.0,5.6,3.7,,No,No,No,No,0.00,36.00,0.00,0.00
B242,B,Meucci Triangle,,,,,,,,Small Park,,,,"Brooklyn
Sector 11.15",,"Districts 11, 15",,,0.05,0.05,,1,1,,1,1,12.00,,20.00,,,26.00,,25.00,,3.9,5.5,5.8,5.1,,No,No,No,No,0.00,0.00,111.00,0.00
M170,M,Petrosino Square,,,,,,,,Small Park,,,,Manhattan Sector 1.2,,"Districts 1, 2",,,0.05,0.05,,6,5,,5,7,82.00,,73.00,,,74.00,,96.00,,5.8,4.7,4.9,6.0,,No,No,No,No,771.00,103.00,0.00,103.00
R002,R,Pleasant Plains Plaza,,,,,,,,Small Park,,,,"Staten
Island Sector 3",,District 3,,,0.05,0.05,,,,,,,1.00,,1.00,,,1.00,,1.00,,1.0,1.0,1.0,1.0,,No,No,No,No,,,,
Q042,Q,Poppenhusen Park,,,,,,,,Small Park,,,,Queens Sector 7,,District 7,,,0.05,0.05,,1,1,,,,14.00,,23.00,,,7.00,,10.00,,1.2,2.0,1.5,1.6,,No,No,No,No,349.00,0.00,0.00,308.00
M051 68,M,Richard Tucker Park,,,,,,,,Small Park,,,,Manhattan Sector 7.9,,"Districts 7, 9",,,0.05,0.05,,1,,,3,,11.00,,,,,35.00,,,,1.0,,1.0,,,No,,No,,253.00,74.00,0.00,0.00
Q147,Q,Ruoff Triangle,,,,,,,,Small Park,,,,Queens Sector 8.9,,"Districts 8, 9",,,0.05,0.05,,1,2,,2,2,18.00,,38.00,,,28.00,,30.00,,5.2,5.7,5.8,4.8,,No,No,No,No,,,,
Q360T,Q,Sitting Area,,,,,,,,Small Park,,,,Queens Sector 5.6,,"Districts 5, 6",,,0.05,0.05,,1,1,,1,1,11.00,,10.00,,,9.00,,12.00,,2.1,1.8,1.7,1.2,,No,No,No,No,0.00,0.00,0.00,56.00
X052,X,Triangle,,,,,,,,Small Park,,,,Bronx Sector 3.6,,"Districts 3, 6",,,0.05,0.05,,1,1,,1,,10.00,,10.00,,,10.00,,7.00,,1.8,1.6,1.6,1.4,,No,No,No,No,,,,
M125E,M,Charlton Plaza,,,,,,,,Small Park,,,,Manhattan Sector 1.2,,"Districts 1, 2",,,0.04,0.04,,5,3,,4,6,77.00,,45.00,,,64.00,,91.00,,6.1,4.7,4.8,6.3,,No,No,No,No,56.00,0.00,0.00,116.00
M024,M,Dorrance Brooks Square,,,,,,,,Small Park,,,,"Manhattan Sector
10.11",,"Districts 10, 11",,,0.04,0.04,,10,8,,9,11,115.00,,102.00,,,113.00,,115.00,,4.8,3.5,5.1,4.7,,No,No,No,No,29.00,0.00,0.00,10.00
B117,B,Lindsay Triangle,,,,,,,,Small Park,,,,Brooklyn Sector 1,,District 1,,,0.04,0.04,,4,3,,4,5,62.00,,46.00,,,69.00,,84.00,,4.6,5.2,5.9,5.3,,No,No,No,No,0.00,516.00,76.00,125.00
Q462,Q,Manuel De Dios Unanue Triangle,,,,,,,,Small Park,,,,Queens Sector 3.4,,"Districts 3, 4",,,0.04,0.04,,1,2,,1,1,16.00,,13.00,,,9.00,,23.00,,3.2,3.2,2.6,4.8,,No,No,No,No,656.00,65.00,0.00,68.00
M172,M,McCarthy Square,,,,,,,,Small Park,,,,Manhattan Sector 1.2,,"Districts 1, 2",,,0.04,0.04,,27,17,,3,6,120.00,,85.00,,,2.00,,56.00,,5.3,4.5,4.7,5.2,,Yes,Yes,Yes,Yes,0.00,620.00,0.00,17.00
Q243,Q,Norelli-Hargreaves Memorial Triangle,,,,,,,,Small Park,,,,"Queens
Sector 10.12",,"Districts 10, 12",,,0.04,0.04,,1,1,,1,1,13.00,,18.00,,,19.00,,16.00,,1.4,1.5,1.8,1.8,,No,No,No,No,0.00,0.00,0.00,21.00
X148B2,X,Park,,,,,,,,Small Park,,,,Bronx Sector 4.5,,"Districts 4, 5",,,0.04,0.04,,1,1,,1,1,14.00,,21.00,,,23.00,,26.00,,1.4,2.2,2.3,2.5,,No,No,No,No,15.00,15.00,111.00,0.00
B196 70,B,Pvt. Sonsire Triangle,,,,,,,,Small Park,,,,Brooklyn Sector 1,,District 1,,,0.04,0.04,,25,6,,4,93,414.00,,92.00,,,67.00,,1631.00,,6.3,5.9,4.3,6.1,,Yes,Yes,Yes,Yes,,,,
M282,M,Septuagesimo UNO,,,,,,,,Small Park,,,,Manhattan Sector 7.9,,"Districts 7, 9",,,0.04,0.04,,20,21,,19,21,242.00,,300.00,,,252.00,,301.00,,5.7,5.9,6.4,6.8,,Yes,Yes,Yes,Yes,0.00,0.00,0.00,78.00
Q057,Q,Sohncke Square,,,,,,,,Small Park,,,,Queens Sector 1.2,,"Districts 1, 2",,,0.04,0.04,,3,3,,3,5,56.00,,51.00,,,47.00,,77.00,,4.7,4.9,5.0,5.5,,No,No,No,No,203.00,465.00,156.00,605.00
M247,M,St. James Triangle,,,,,,,,Small Park,,,,Manhattan Sector 3,,District 3,,,0.04,0.04,,4,2,,3,4,59.00,,25.00,,,47.00,,56.00,,5.7,3.6,4.5,5.2,,No,No,No,No,0.00,30.00,0.00,48.00
B126A,B,Todd Triangle,,,,,,,,Small Park,,,,Brooklyn Sector 6.7,,"Districts 6, 7",,,0.04,0.04,,21,7,,15,23,189.00,,81.00,,,170.00,,280.00,,4.2,5.5,5.4,5.4,,Yes,Yes,Yes,Yes,76.00,0.00,0.00,0.00
X148J2,X,Boone Slope,,,,,,,,Small Park,,,,Bronx Sector 3.6,,"Districts 3, 6",,,0.03,0.03,,8,5,,5,10,120.00,,79.00,,,69.00,,148.00,,4.6,4.2,4.4,5.1,,No,No,No,No,0.00,83.00,328.00,31.00
B210C,B,Cough Triangle,,,,,,,,Small Park,,,,Brooklyn Sector 6.7,,"Districts 6, 7",,,0.03,0.03,,7,7,,8,8,97.00,,87.00,,,105.00,,107.00,,5.5,5.9,5.8,6.5,,No,No,No,No,52.00,97.00,56.00,0.00
R060,R,Dodgers Triangle,,,,,,,,Small Park,,,,"Staten
Island Sector 1",,District 1,,,0.03,0.03,,1,1,,3,1,18.00,,20.00,,,36.00,,18.00,,3.2,2.8,3.4,1.9,,No,No,No,No,,,,
Q159,Q,Father Reilly Square,,,,,,,,Small Park,,,,"Queens Sector
11.13",,"Districts 11, 13",,,0.03,0.03,,,,,,1,5.00,,2.00,,,5.00,,8.00,,1.1,1.0,1.4,1.6,,No,No,No,No,,,,
Q062,Q,Fleetwood Triangle,,,,,,,,Small Park,,,,Queens Sector 5.6,,"Districts 5, 6",,,0.03,0.03,,2,2,,3,1,32.00,,28.00,,,50.00,,23.00,,4.1,5.6,4.6,4.5,,No,No,No,No,0.00,0.00,97.00,0.00
B172,B,Heffernan Triangle,,,,,,,,Small Park,,,,"Brooklyn
Sector 10.12",,"Districts 10, 12",,,0.03,0.03,,4,4,,4,6,62.00,,67.00,,,59.00,,92.00,,5.5,5.2,4.9,5.3,,No,No,No,No,,,,
B045,B,Heisser Triangle,,,,,,,,Small Park,,,,Brooklyn Sector 3.4,,"Districts 3, 4",,,0.03,0.03,,10,7,,4,6,147.00,,103.00,,,55.00,,84.00,,6.4,5.9,4.2,5.5,,No,No,No,No,0.00,0.00,21.00,16.00
Q152,Q,Horsebrook Island,,,,,,,,Small Park,,,,Queens Sector 3.4,,"Districts 3, 4",,,0.03,0.03,,1,1,,1,1,17.00,,9.00,,,23.00,,11.00,,3.2,2.8,2.0,1.3,,No,No,No,No,,,,
Q341B,Q,Latham Park,,,,,,,,Small Park,,,,Queens Sector 1.2,,"Districts 1, 2",,,0.03,0.03,,1,1,,1,2,18.00,,19.00,,,15.00,,27.00,,2.0,2.5,2.4,2.6,,No,No,No,No,,,,
Q383,Q,Middle Village Veterans Triangle,,,,,,,,Small Park,,,,Queens Sector 5.6,,"Districts 5, 6",,,0.03,0.03,,1,1,,1,1,8.00,,14.00,,,21.00,,16.00,,1.9,1.4,1.5,1.6,,No,No,No,No,,,,
Q160,Q,O'Sullivan Plaza,,,,,,,,Small Park,,,,Queens Sector 3.4,,"Districts 3, 4",,,0.03,0.03,,1,1,,1,1,19.00,,18.00,,,24.00,,16.00,,4.8,4.0,4.2,3.4,,No,No,No,No,228.00,0.00,0.00,208.00
M108H,M,Park,,,,,,,,Small Park,,,,"Manhattan
Sector 6.8.15",,"Districts 6, 8, 15",,,0.03,0.03,,1,1,,2,3,16.00,,19.00,,,35.00,,45.00,,5.5,6.2,6.9,5.8,,No,No,No,No,,,,
X148I3,X,Park,,,,,,,,Small Park,,,,Bronx Sector 3.6,,"Districts 3, 6",,,0.03,0.03,,1,2,,1,2,22.00,,22.00,,,10.00,,30.00,,2.3,1.8,1.6,3.2,,No,No,No,No,,,,
M169,M,Samuel Marx Triangle,,,,,,,,Small Park,,,,"Manhattan Sector
10.11",,"Districts 10, 11",,,0.03,0.03,,6,5,,5,5,72.00,,63.00,,,70.00,,59.00,,5.4,5.2,4.5,4.6,,No,No,No,No,,,,
B338,B,Tom McDonald Triangle,,,,,,,,Small Park,,,,"Brooklyn
Sector 10.12",,"Districts 10, 12",,,0.03,0.03,,2,1,,1,1,38.00,,21.00,,,24.00,,21.00,,2.3,2.2,2.1,2.2,,No,No,No,No,0.00,0.00,0.00,121.00
Q070,Q,Trolley Car Triangle,,,,,,,,Small Park,,,,Queens Sector 3.4,,"Districts 3, 4",,,0.03,0.03,,1,1,,1,1,20.00,,17.00,,,14.00,,15.00,,4.8,3.7,4.1,3.5,,No,No,No,No,0.00,80.00,87.00,125.00
B027,B,Veterans Triangle,,,,,,,,Small Park,,,,"Brooklyn
Sector 5.16",,"Districts 5, 16",,,0.03,0.03,,6,3,,6,11,102.00,,44.00,,,76.00,,139.00,,4.3,2.2,3.6,5.9,,Yes,No,Yes,Yes,,,,
X278,X,Boston Garden,,,,,,,,Small Park,,,,"Bronx Sector
11.12",,"Districts 11, 12",,,0.02,0.02,,3,2,,2,4,42.00,,31.00,,,32.00,,55.00,,2.9,2.0,2.2,2.8,,No,No,No,No,98.00,0.00,0.00,0.00
X133,X,Derosa O'Boyle Triangle,,,,,,,,Small Park,,,,"Bronx
Sector 9.10",,"Districts 9, 10",,,0.02,0.02,,4,2,,3,3,57.00,,39.00,,,42.00,,44.00,,5.2,4.8,3.5,4.5,,No,No,No,No,,,,
B033,B,Fort Hamilton Triangle,,,,,,,,Small Park,,,,"Brooklyn
Sector 10.12",,"Districts 10, 12",,,0.02,0.02,,2,2,,2,2,33.00,,35.00,,,38.00,,28.00,,1.9,2.7,1.8,2.1,,No,No,No,No,0.00,83.00,0.00,0.00
X134,X,Freeman Triangle,,,,,,,,Small Park,,,,Bronx Sector 3.6,,"Districts 3, 6",,,0.02,0.02,,1,5,,4,6,23.00,,73.00,,,59.00,,91.00,,2.2,4.4,3.9,5.6,,No,No,No,No,0.00,0.00,28.00,56.00
B041,B,Grant Gore,,,,,,,,Small Park,,,,Brooklyn Sector 8.9,,"Districts 8, 9",,,0.02,0.02,,8,10,,4,5,116.00,,119.00,,,55.00,,68.00,,5.5,6.0,4.9,5.1,,No,No,No,No,,,,
Q245,Q,Hollis Veterans Square,,,,,,,,Small Park,,,,"Queens
Sector 10.12",,"Districts 10, 12",,,0.02,0.02,,1,1,,1,3,13.00,,8.00,,,11.00,,47.00,,1.4,1.3,1.5,1.5,,No,No,No,No,,,,
M040,M,Johnny Hartman Square,,,,,,,,Small Park,,,,Manhattan Sector 7.9,,"Districts 7, 9",,,0.02,0.02,,9,9,,8,10,111.00,,123.00,,,102.00,,108.00,,5.6,6.0,6.2,6.2,,No,No,No,No,,,,
M090,M,Lafayette Square,,,,,,,,Small Park,,,,"Manhattan Sector
10.11",,"Districts 10, 11",,,0.02,0.02,,6,4,,5,5,75.00,,51.00,,,66.00,,52.00,,5.1,4.8,4.5,3.7,,No,No,No,No,0.00,0.00,0.00,5.00
B202,B,Lithuania Square,,,,,,,,Small Park,,,,Brooklyn Sector 1,,District 1,,,0.02,0.02,,2,2,,4,4,37.00,,31.00,,,66.00,,58.00,,4.0,5.0,6.2,5.2,,No,No,No,No,,,,
Q157,Q,Metro Triangle,,,,,,,,"Gree nstre
et",,,,Queens Sector 8.9,,"Districts 8, 9",,,0.02,0.02,,1,2,,2,2,13.00,,31.00,,,27.00,,29.00,,5.3,6.0,6.0,4.8,,No,No,No,No,,,,
Q060,Q,Nine Heroes Plaza,,,,,,,,Small Park,,,,Queens Sector 3.4,,"Districts 3, 4",,,0.02,0.02,,2,2,,2,4,38.00,,32.00,,,27.00,,59.00,,4.1,3.8,3.5,6.2,,No,No,No,No,83.00,0.00,108.00,0.00
B231,B,Samuel Goldberg Triangle,,,,,,,,Small Park,,,,"Brooklyn
Sector 11.15",,"Districts 11, 15",,,0.02,0.02,,2,1,,2,1,33.00,,18.00,,,24.00,,17.00,,2.1,1.9,2.6,2.9,,No,No,No,No,,,,
Q213,Q,Studley Triangle,,,,,,,,Small Park,,,,Queens Sector 7,,District 7,,,0.02,0.02,,,,,,,8.00,,6.00,,,10.00,,6.00,,1.2,1.6,1.4,1.6,,No,No,No,No,45.00,0.00,0.00,0.00
B229,B,Triangle,,,,,,,,Small Park,,,,"Brooklyn
Sector 17.18",,"Districts 17, 18",,,0.02,0.02,,,1,,,,6.00,,14.00,,,8.00,,7.00,,1.7,1.0,1.3,1.8,,No,No,No,No,,,,
B155,B,Triangle,,,,,,,,Small Park,,,,"Brooklyn Sector
5.16",,"Districts 5, 16",,,0.02,0.02,,,,,1,1,2.00,,5.00,,,11.00,,10.00,,1.1,1.2,1.4,1.0,,No,No,No,No,,,,
M108T01,M,East River Esplanade,,,,,,,,Small Park,,,,"Manhattan
Sector 6.8.15",,"Districts 6, 8, 15",,,0.02,8.60,,173,80,,97,143,2267.00,,1020.00,,,1211.00,,1742.00,,6.6,6.9,7.0,6.8,,Yes,Yes,Yes,Yes,63.00,592.00,29.00,35.00
"Q135 1, 67",Q,Cross Island Parkway,,,,,,,,Other,"Natural Areas,Trails",,,"Queens Sector
11.13",,"Districts 11, 13",,,0.01,326.90,,2,3,,3,11,30.00,,36.00,,,42.00,,166.00,,3.0,2.9,3.6,3.3,,Yes,Yes,Yes,Yes,0.00,0.00,42.00,0.00
M188A,M,Abe Lebewohl Triangle,,,,,,,,Small Park,,,,Manhattan Sector 3,,District 3,,,0.01,0.01,,3,2,,2,2,35.00,,25.00,,,30.00,,36.00,,5.2,3.5,4.6,4.8,,No,No,No,No,26.00,0.00,0.00,3.00
B123,B,Alben Triangle,,,,,,,,Small Park,,,,"Brooklyn Sector
10.12",,"Districts 10, 12",,,0.01,0.01,,1,3,,2,2,17.00,,36.00,,,34.00,,40.00,,2.9,3.2,3.2,2.8,,No,No,No,No,3.00,0.00,0.00,0.00
Q168,Q,Alexander Grey Triangle,,,,,,,,Small Park,,,,Queens Sector 7,,District 7,,,0.01,0.01,,,,,,,3.00,,4.00,,,3.00,,2.00,,1.3,1.2,1.3,1.1,,No,No,No,No,,,,
Q173,Q,American Triangle,,,,,,,,Small Park,,,,Queens Sector 3.4,,"Districts 3, 4",,,0.01,0.01,,4,4,,8,106,53.00,,53.00,,,108.00,,1426.00,,4.6,4.5,3.3,6.8,,Yes,Yes,Yes,Yes,243.00,0.00,114.00,0.00
X001B,X,Barnhill Square,,,,,,,,Small Park,,,,Bronx Sector 7.8,,"Districts 7, 8",,,0.01,0.01,,3,3,,2,2,54.00,,47.00,,,40.00,,28.00,,2.8,3.7,3.5,2.6,,No,No,No,No,,,,
B006,B,Beattie Square,,,,,,,,Small Park,,,,Brooklyn Sector 3.4,,"Districts 3, 4",,,0.01,0.01,,12,6,,5,5,186.00,,98.00,,,72.00,,74.00,,6.4,4.5,3.8,5.6,,No,No,No,No,0.00,0.00,0.00,9.00
Q148,Q,Catholic War Veterans Square,,,,,,,,Small Park,,,,"Queens
Sector 10.12",,"Districts 10, 12",,,0.01,0.01,,2,2,,3,3,28.00,,39.00,,,50.00,,46.00,,3.6,4.6,5.2,5.0,,No,No,No,No,295.00,0.00,111.00,0.00
Q387D,Q,Clearview's Tail,,,,,,,,Small Park,,,,Queens Sector 8.9,,"Districts 8, 9",,,0.01,0.01,,,1,,,,8.00,,12.00,,,8.00,,6.00,,1.3,1.2,1.2,1.1,,No,No,No,No,,,,
Q056,Q,Clemens Triangle,,,,,,,,Small Park,,,,Queens Sector 5.6,,"Districts 5, 6",,,0.01,0.01,,,,,1,1,7.00,,7.00,,,18.00,,10.00,,2.4,1.2,2.1,1.5,,No,No,No,No,,,,
B175,B,Dahill Triangle,,,,,,,,Small Park,,,,"Brooklyn Sector
10.12",,"Districts 10, 12",,,0.01,0.01,,,2,,2,2,6.00,,29.00,,,29.00,,29.00,,1.6,2.5,2.4,2.3,,No,No,No,No,,,,
B031,B,Fidelity Triangle,,,,,,,,Small Park,,,,Brooklyn Sector 1,,District 1,,,0.01,0.01,,1,,,,,23.00,,4.00,,,9.00,,9.00,,1.2,1.0,1.4,1.0,,No,No,No,No,,,,
Q019,Q,Garlinge Triangle,,,,,,,,Small Park,,,,Queens Sector 5.6,,"Districts 5, 6",,,0.01,0.01,,1,1,,1,,12.00,,13.00,,,12.00,,8.00,,1.9,1.9,1.8,1.2,,No,No,No,No,0.00,14.00,122.00,0.00
Q075,Q,Glendale Veterans Triangle,,,,,,,,Small Park,,,,Queens Sector 5.6,,"Districts 5, 6",,,0.01,0.01,,1,1,,1,1,12.00,,17.00,,,9.00,,11.00,,1.5,1.9,1.4,1.7,,No,No,No,No,0.00,0.00,0.00,52.00
Q142,Q,Jacob Riis Triangle,,,,,,,,Small Park,,,,Queens Sector 8.9,,"Districts 8, 9",,,0.01,0.01,,1,1,,1,2,14.00,,23.00,,,23.00,,26.00,,5.2,4.3,5.2,4.2,,No,No,No,No,,,,
